,year,Dem_candidate,Dem_votes,totalvotes,Rep_candidate,Rep_votes,Third_party_votes,state,Median income,Standard error,Population
54,1980,"CARTER, JIMMY",541732.0,1406285.0,"REAGAN, RONALD",677210.0,187343.0,Connecticut,,,3107576.0
55,1980,"CARTER, JIMMY",105754.0,235668.0,"REAGAN, RONALD",111252.0,18662.0,Delaware,,,594338.0
56,1980,"CARTER, JIMMY",130231.0,173889.0,"REAGAN, RONALD",23313.0,20345.0,District Of Columbia,,,
57,1980,"CARTER, JIMMY",1419475.0,3686927.0,"REAGAN, RONALD",2046951.0,220501.0,Florida,,,9746324.0
58,1980,"CARTER, JIMMY",890955.0,1596805.0,"REAGAN, RONALD",654168.0,51682.0,Georgia,,,5463105.0
59,1980,"CARTER, JIMMY",135879.0,303287.0,"REAGAN, RONALD",130112.0,37296.0,Hawaii,,,964691.0
60,1980,"CARTER, JIMMY",110192.0,437431.0,"REAGAN, RONALD",290699.0,36540.0,Idaho,,,943935.0
61,1980,"CARTER, JIMMY",1981413.0,4749721.0,"REAGAN, RONALD",2358049.0,410259.0,Illinois,,,11426518.0
62,1980,"CARTER, JIMMY",844197.0,2242033.0,"REAGAN, RONALD",1255656.0,142180.0,Indiana,,,5490224.0
63,1980,"CARTER, JIMMY",508672.0,1317661.0,"REAGAN, RONALD",676026.0,132963.0,Iowa,,,2913808.0
64,1980,"CARTER, JIMMY",326150.0,979795.0,"REAGAN, RONALD",566812.0,86833.0,Kansas,,,2363679.0
65,1980,"CARTER, JIMMY",617417.0,1295627.0,"REAGAN, RONALD",635274.0,42936.0,Kentucky,,,3660777.0
66,1980,"CARTER, JIMMY",708453.0,1548591.0,"REAGAN, RONALD",792853.0,47285.0,Louisiana,,,4205900.0
67,1980,"CARTER, JIMMY",220974.0,523011.0,"REAGAN, RONALD",238522.0,63515.0,Maine,,,1124660.0
68,1980,"CARTER, JIMMY",726161.0,1540496.0,"REAGAN, RONALD",680606.0,133729.0,Maryland,,,4216975.0
69,1980,"CARTER, JIMMY",1053802.0,2524090.0,"REAGAN, RONALD",1057631.0,412657.0,Massachusetts,,,5737037.0
70,1980,"CARTER, JIMMY",1661532.0,3909725.0,"REAGAN, RONALD",1915225.0,332968.0,Michigan,,,9262078.0
71,1980,"CARTER, JIMMY",954173.0,2051916.0,"REAGAN, RONALD",873268.0,224475.0,Minnesota,,,4075970.0
72,1980,"CARTER, JIMMY",429281.0,891750.0,"REAGAN, RONALD",441089.0,21380.0,Mississippi,,,2520638.0
73,1980,"CARTER, JIMMY",931182.0,2099824.0,"REAGAN, RONALD",1074181.0,94461.0,Missouri,,,4916686.0
74,1980,"CARTER, JIMMY",118032.0,363952.0,"REAGAN, RONALD",206814.0,39106.0,Montana,,,786690.0
75,1980,"CARTER, JIMMY",166424.0,639533.0,"REAGAN, RONALD",419214.0,53895.0,Nebraska,,,1569825.0
76,1980,"CARTER, JIMMY",66666.0,243692.0,"REAGAN, RONALD",155017.0,22009.0,Nevada,,,800493.0
77,1980,"CARTER, JIMMY",108864.0,383990.0,"REAGAN, RONALD",221705.0,53421.0,New Hampshire,,,920610.0
78,1980,"CARTER, JIMMY",1147364.0,2975684.0,"REAGAN, RONALD",1546557.0,281763.0,New Jersey,,,7364823.0
79,1980,"CARTER, JIMMY",167826.0,456237.0,"REAGAN, RONALD",250779.0,37632.0,New Mexico,,,1302894.0
80,1980,"CARTER, JIMMY",2728372.0,6201959.0,"REAGAN, RONALD",2637700.0,835887.0,New York,,,17558072.0
81,1980,"CARTER, JIMMY",875635.0,1855833.0,"REAGAN, RONALD",915018.0,65180.0,North Carolina,,,5881766.0
82,1980,"CARTER, JIMMY",79189.0,301116.0,"REAGAN, RONALD",193695.0,28232.0,North Dakota,,,652717.0
83,1980,"CARTER, JIMMY",1752414.0,4283603.0,"REAGAN, RONALD",2206545.0,324644.0,Ohio,,,10797630.0
84,1980,"CARTER, JIMMY",402026.0,1149708.0,"REAGAN, RONALD",695570.0,52112.0,Oklahoma,,,3025290.0
85,1980,"CARTER, JIMMY",456890.0,1181516.0,"REAGAN, RONALD",571044.0,153582.0,Oregon,,,2633105.0
86,1980,"CARTER, JIMMY",1937540.0,4561501.0,"REAGAN, RONALD",2261872.0,362089.0,Pennsylvania,,,11863895.0
87,1980,"CARTER, JIMMY",198342.0,415967.0,"REAGAN, RONALD",154793.0,62832.0,Rhode Island,,,947154.0
88,1980,"CARTER, JIMMY",428220.0,888258.0,"REAGAN, RONALD",439277.0,20761.0,South Carolina,,,3121820.0
89,1980,"CARTER, JIMMY",103855.0,327703.0,"REAGAN, RONALD",198343.0,25505.0,South Dakota,,,690768.0
90,1980,"CARTER, JIMMY",783051.0,1617616.0,"REAGAN, RONALD",787761.0,46804.0,Tennessee,,,4591120.0
91,1980,"CARTER, JIMMY",1881147.0,4541636.0,"REAGAN, RONALD",2510705.0,149784.0,Texas,,,14229191.0
