year,Dem_candidate,Dem_votes,totalvotes,Rep_candidate,Rep_votes,Third_party_votes,state,Median income,Standard error,Population
1984,"MONDALE, WALTER",798352.0,1874910.0,"REAGAN, RONALD",1051670.0,24888.0,Washington,59529.0,1958.0,4132156.0
1984,"MONDALE, WALTER",328125.0,735742.0,"REAGAN, RONALD",405483.0,2134.0,West Virginia,40078.0,1447.0,1949644.0
1984,"MONDALE, WALTER",995740.0,2211689.0,"REAGAN, RONALD",1198584.0,17365.0,Wisconsin,49358.0,1954.0,4705767.0
1984,"MONDALE, WALTER",53370.0,188968.0,"REAGAN, RONALD",133241.0,2357.0,Wyoming,56671.0,1739.0,469557.0
1988,"DUKAKIS, MICHAEL",549506.0,1378476.0,"BUSH, GEORGE H.W.",815576.0,13394.0,Alabama,42082.0,1924.0,4040587.0
1988,"DUKAKIS, MICHAEL",72584.0,200116.0,"BUSH, GEORGE H.W.",119251.0,8281.0,Alaska,69833.0,2496.0,550043.0
1988,"DUKAKIS, MICHAEL",454029.0,1171873.0,"BUSH, GEORGE H.W.",702541.0,15303.0,Arizona,55767.0,1778.0,3665228.0
1988,"DUKAKIS, MICHAEL",349237.0,827738.0,"BUSH, GEORGE H.W.",466578.0,11923.0,Arkansas,42554.0,1489.0,2350725.0
1988,"DUKAKIS, MICHAEL",4702233.0,9887065.0,"BUSH, GEORGE H.W.",5054917.0,129915.0,California,63893.0,1337.0,29760021.0
1988,"DUKAKIS, MICHAEL",621453.0,1372394.0,"BUSH, GEORGE H.W.",728177.0,22764.0,Colorado,55300.0,2711.0,3294394.0
1988,"DUKAKIS, MICHAEL",676584.0,1443394.0,"BUSH, GEORGE H.W.",750241.0,16569.0,Connecticut,76394.0,2728.0,3287116.0
1988,"DUKAKIS, MICHAEL",108647.0,249891.0,"BUSH, GEORGE H.W.",139639.0,1605.0,Delaware,64353.0,2462.0,666168.0
1988,"DUKAKIS, MICHAEL",1656701.0,4302313.0,"BUSH, GEORGE H.W.",2618885.0,26727.0,Florida,53596.0,1002.0,12937926.0
1988,"DUKAKIS, MICHAEL",714792.0,1809672.0,"BUSH, GEORGE H.W.",1081331.0,13549.0,Georgia,56043.0,1890.0,6478216.0
1988,"DUKAKIS, MICHAEL",192364.0,354461.0,"BUSH, GEORGE H.W.",158625.0,3472.0,Hawaii,69667.0,3126.0,1108229.0
1988,"DUKAKIS, MICHAEL",147272.0,408968.0,"BUSH, GEORGE H.W.",253881.0,7815.0,Idaho,49470.0,2118.0,1006749.0
1988,"DUKAKIS, MICHAEL",2215940.0,4559120.0,"BUSH, GEORGE H.W.",2310939.0,32241.0,Illinois,62283.0,1591.0,11430602.0
1988,"DUKAKIS, MICHAEL",860643.0,2168621.0,"BUSH, GEORGE H.W.",1297763.0,10215.0,Indiana,55467.0,1964.0,5544159.0
1988,"DUKAKIS, MICHAEL",670557.0,1225614.0,"BUSH, GEORGE H.W.",545355.0,9702.0,Iowa,51273.0,2274.0,2776755.0
1988,"DUKAKIS, MICHAEL",422636.0,993044.0,"BUSH, GEORGE H.W.",554049.0,16359.0,Kansas,53933.0,2432.0,2477574.0
1988,"DUKAKIS, MICHAEL",580368.0,1322517.0,"BUSH, GEORGE H.W.",734281.0,7868.0,Kentucky,41995.0,1690.0,3685296.0
1988,"DUKAKIS, MICHAEL",717460.0,1628202.0,"BUSH, GEORGE H.W.",883702.0,27040.0,Louisiana,43240.0,3110.0,4219973.0
1988,"DUKAKIS, MICHAEL",243569.0,555035.0,"BUSH, GEORGE H.W.",307131.0,4335.0,Maine,55697.0,1987.0,1227928.0
1988,"DUKAKIS, MICHAEL",826304.0,1714358.0,"BUSH, GEORGE H.W.",876167.0,11887.0,Maryland,77109.0,2523.0,4781468.0
1988,"DUKAKIS, MICHAEL",1401415.0,2632801.0,"BUSH, GEORGE H.W.",1194635.0,36751.0,Massachusetts,70065.0,1770.0,6016425.0
1988,"DUKAKIS, MICHAEL",1675783.0,3669163.0,"BUSH, GEORGE H.W.",1965486.0,27894.0,Michigan,62173.0,1281.0,9295297.0
1988,"DUKAKIS, MICHAEL",1109471.0,2096790.0,"BUSH, GEORGE H.W.",962337.0,24982.0,Minnesota,61361.0,2196.0,4375099.0
1988,"DUKAKIS, MICHAEL",363921.0,931527.0,"BUSH, GEORGE H.W.",557890.0,9716.0,Mississippi,38323.0,1873.0,2573216.0
1988,"DUKAKIS, MICHAEL",1001619.0,2093228.0,"BUSH, GEORGE H.W.",1084953.0,6656.0,Missouri,49455.0,2295.0,5117073.0
1988,"DUKAKIS, MICHAEL",168936.0,365674.0,"BUSH, GEORGE H.W.",190412.0,6326.0,Montana,46898.0,1749.0,799065.0
1988,"DUKAKIS, MICHAEL",259235.0,661465.0,"BUSH, GEORGE H.W.",397956.0,4274.0,Nebraska,53075.0,2025.0,1578385.0
1988,"DUKAKIS, MICHAEL",132738.0,343133.0,"BUSH, GEORGE H.W.",206040.0,4355.0,Nevada,59032.0,2017.0,1201833.0
1988,"DUKAKIS, MICHAEL",163696.0,450525.0,"BUSH, GEORGE H.W.",281537.0,5292.0,New Hampshire,73044.0,2382.0,1109252.0
1988,"DUKAKIS, MICHAEL",1320352.0,3099553.0,"BUSH, GEORGE H.W.",1743192.0,36009.0,New Jersey,76550.0,1388.0,7730188.0
1988,"DUKAKIS, MICHAEL",244497.0,521387.0,"BUSH, GEORGE H.W.",270341.0,6549.0,New Mexico,40706.0,1757.0,1515069.0
1988,"DUKAKIS, MICHAEL",3255487.0,6485683.0,"BUSH, GEORGE H.W.",2838414.0,391782.0,New York,60998.0,1409.0,17990455.0
1988,"DUKAKIS, MICHAEL",890167.0,2134370.0,"BUSH, GEORGE H.W.",1237258.0,6945.0,North Carolina,51505.0,1131.0,6628637.0
1988,"DUKAKIS, MICHAEL",127739.0,297261.0,"BUSH, GEORGE H.W.",166559.0,2963.0,North Dakota,50824.0,2129.0,638800.0
1988,"DUKAKIS, MICHAEL",1939629.0,4393585.0,"BUSH, GEORGE H.W.",2416549.0,37407.0,Ohio,58520.0,1342.0,10847115.0
1988,"DUKAKIS, MICHAEL",483423.0,1171036.0,"BUSH, GEORGE H.W.",678367.0,9246.0,Oklahoma,49927.0,1595.0,3145585.0
1988,"DUKAKIS, MICHAEL",616206.0,1201694.0,"BUSH, GEORGE H.W.",560126.0,25362.0,Oregon,58536.0,2426.0,2842321.0
1988,"DUKAKIS, MICHAEL",2194944.0,4536251.0,"BUSH, GEORGE H.W.",2300087.0,41220.0,Pennsylvania,56414.0,1048.0,11881643.0
1988,"DUKAKIS, MICHAEL",225123.0,404622.0,"BUSH, GEORGE H.W.",177761.0,1738.0,Rhode Island,62954.0,3342.0,1003464.0
1988,"DUKAKIS, MICHAEL",370554.0,986009.0,"BUSH, GEORGE H.W.",606443.0,9012.0,South Carolina,53864.0,2426.0,3486703.0
1988,"DUKAKIS, MICHAEL",145560.0,312991.0,"BUSH, GEORGE H.W.",165415.0,2016.0,South Dakota,47031.0,1483.0,696004.0
1988,"DUKAKIS, MICHAEL",679794.0,1636250.0,"BUSH, GEORGE H.W.",947233.0,9223.0,Tennessee,43997.0,2145.0,4877185.0
1988,"DUKAKIS, MICHAEL",2352748.0,5427410.0,"BUSH, GEORGE H.W.",3036829.0,37833.0,Texas,52661.0,1228.0,16986510.0
1988,"DUKAKIS, MICHAEL",207343.0,647008.0,"BUSH, GEORGE H.W.",428442.0,11223.0,Utah,55509.0,1918.0,1722850.0
1988,"DUKAKIS, MICHAEL",115775.0,243328.0,"BUSH, GEORGE H.W.",124331.0,3222.0,Vermont,61152.0,2272.0,562758.0
1988,"DUKAKIS, MICHAEL",859799.0,2191609.0,"BUSH, GEORGE H.W.",1309162.0,22648.0,Virginia,68873.0,2783.0,6187358.0
1988,"DUKAKIS, MICHAEL",933516.0,1865253.0,"BUSH, GEORGE H.W.",903835.0,27902.0,Washington,68196.0,2173.0,4866692.0
1988,"DUKAKIS, MICHAEL",341016.0,653311.0,"BUSH, GEORGE H.W.",310065.0,2230.0,West Virginia,40827.0,1962.0,1793477.0
1988,"DUKAKIS, MICHAEL",1126794.0,2191608.0,"BUSH, GEORGE H.W.",1047499.0,17315.0,Wisconsin,62391.0,2063.0,4891769.0
1988,"DUKAKIS, MICHAEL",67113.0,176551.0,"BUSH, GEORGE H.W.",106867.0,2571.0,Wyoming,55733.0,2310.0,453588.0
1992,"CLINTON, BILL",690080.0,1688060.0,"BUSH, GEORGE H.W.",804283.0,193697.0,Alabama,46803.0,1919.0,4040587.0
1992,"CLINTON, BILL",78294.0,258506.0,"BUSH, GEORGE H.W.",102000.0,78212.0,Alaska,75808.0,2096.0,550043.0
1992,"CLINTON, BILL",543050.0,1486975.0,"BUSH, GEORGE H.W.",572086.0,371839.0,Arizona,53241.0,1973.0,3665228.0
1992,"CLINTON, BILL",505823.0,950653.0,"BUSH, GEORGE H.W.",337324.0,107506.0,Arkansas,43310.0,2535.0,2350725.0
1992,"CLINTON, BILL",5121325.0,11131721.0,"BUSH, GEORGE H.W.",3630574.0,2379822.0,California,63297.0,1141.0,29760021.0
1992,"CLINTON, BILL",629681.0,1569180.0,"BUSH, GEORGE H.W.",562850.0,376649.0,Colorado,58910.0,2668.0,3294394.0
1992,"CLINTON, BILL",682318.0,1616156.0,"BUSH, GEORGE H.W.",578313.0,355525.0,Connecticut,74066.0,3576.0,3287116.0
1992,"CLINTON, BILL",126054.0,289620.0,"BUSH, GEORGE H.W.",102313.0,61253.0,Delaware,64702.0,2526.0,666168.0
1992,"CLINTON, BILL",2071698.0,5313392.0,"BUSH, GEORGE H.W.",2173310.0,1068384.0,Florida,49598.0,954.0,12937926.0
1992,"CLINTON, BILL",1008966.0,2321133.0,"BUSH, GEORGE H.W.",995252.0,316915.0,Georgia,52224.0,2227.0,6478216.0
1992,"CLINTON, BILL",179310.0,372842.0,"BUSH, GEORGE H.W.",136822.0,56710.0,Hawaii,76372.0,2602.0,1108229.0
1992,"CLINTON, BILL",137013.0,482114.0,"BUSH, GEORGE H.W.",202645.0,142456.0,Idaho,50242.0,1585.0,1006749.0
1992,"CLINTON, BILL",2453350.0,5050157.0,"BUSH, GEORGE H.W.",1734096.0,862711.0,Illinois,57218.0,1364.0,11430602.0
1992,"CLINTON, BILL",848420.0,2305871.0,"BUSH, GEORGE H.W.",989375.0,468076.0,Indiana,51739.0,2385.0,5544159.0
1992,"CLINTON, BILL",586353.0,1354607.0,"BUSH, GEORGE H.W.",504891.0,263363.0,Iowa,52126.0,1763.0,2776755.0
1992,"CLINTON, BILL",390434.0,1157236.0,"BUSH, GEORGE H.W.",449951.0,316851.0,Kansas,55033.0,2062.0,2477574.0
1992,"CLINTON, BILL",665104.0,1492900.0,"BUSH, GEORGE H.W.",617178.0,210618.0,Kentucky,42590.0,2283.0,3685296.0
1992,"CLINTON, BILL",815971.0,1790017.0,"BUSH, GEORGE H.W.",733386.0,240660.0,Louisiana,46134.0,2071.0,4219973.0
1992,"CLINTON, BILL",263420.0,679499.0,"BUSH, GEORGE H.W.",206504.0,209575.0,Maine,53711.0,1861.0,1227928.0
1992,"CLINTON, BILL",988571.0,1984580.0,"BUSH, GEORGE H.W.",707094.0,288915.0,Maryland,67468.0,2949.0,4781468.0
1992,"CLINTON, BILL",1318639.0,2773664.0,"BUSH, GEORGE H.W.",805039.0,649986.0,Massachusetts,65937.0,1338.0,6016425.0
1992,"CLINTON, BILL",1871182.0,4274673.0,"BUSH, GEORGE H.W.",1554940.0,848551.0,Michigan,58517.0,1380.0,9295297.0
1992,"CLINTON, BILL",1020997.0,2347948.0,"BUSH, GEORGE H.W.",747841.0,579110.0,Minnesota,56184.0,2352.0,4375099.0
1992,"CLINTON, BILL",400258.0,981793.0,"BUSH, GEORGE H.W.",487793.0,93742.0,Mississippi,37304.0,1948.0,2573216.0
1992,"CLINTON, BILL",1053873.0,2391270.0,"BUSH, GEORGE H.W.",811159.0,526238.0,Missouri,49619.0,2631.0,5117073.0
1992,"CLINTON, BILL",154507.0,410583.0,"BUSH, GEORGE H.W.",144207.0,111869.0,Montana,48103.0,1320.0,799065.0
1992,"CLINTON, BILL",216864.0,737546.0,"BUSH, GEORGE H.W.",343678.0,177004.0,Nebraska,54492.0,1942.0,1578385.0
1992,"CLINTON, BILL",189148.0,506318.0,"BUSH, GEORGE H.W.",175828.0,141342.0,Nevada,57866.0,1444.0,1201833.0
1992,"CLINTON, BILL",209040.0,537215.0,"BUSH, GEORGE H.W.",202484.0,125691.0,New Hampshire,71518.0,3486.0,1109252.0
1992,"CLINTON, BILL",1436206.0,3343594.0,"BUSH, GEORGE H.W.",1356865.0,550523.0,New Jersey,70727.0,1525.0,7730188.0
1992,"CLINTON, BILL",261617.0,569986.0,"BUSH, GEORGE H.W.",212824.0,95545.0,New Mexico,46897.0,2443.0,1515069.0
1992,"CLINTON, BILL",3346894.0,7079432.0,"BUSH, GEORGE H.W.",2041690.0,1690848.0,New York,56311.0,959.0,17990455.0
1992,"CLINTON, BILL",1114042.0,2611850.0,"BUSH, GEORGE H.W.",1134661.0,363147.0,North Carolina,50363.0,1117.0,6628637.0
1992,"CLINTON, BILL",99168.0,308133.0,"BUSH, GEORGE H.W.",136244.0,72721.0,North Dakota,48890.0,1634.0,638800.0
1992,"CLINTON, BILL",1984942.0,4939967.0,"BUSH, GEORGE H.W.",1894310.0,1060715.0,Ohio,56951.0,1065.0,10847115.0
1992,"CLINTON, BILL",473066.0,1390359.0,"BUSH, GEORGE H.W.",592929.0,324364.0,Oklahoma,45853.0,1950.0,3145585.0
1992,"CLINTON, BILL",621314.0,1462643.0,"BUSH, GEORGE H.W.",475757.0,365572.0,Oregon,57900.0,3698.0,2842321.0
1992,"CLINTON, BILL",2239164.0,4959810.0,"BUSH, GEORGE H.W.",1791841.0,928805.0,Pennsylvania,54191.0,1210.0,11881643.0
1992,"CLINTON, BILL",213299.0,453365.0,"BUSH, GEORGE H.W.",131601.0,108465.0,Rhode Island,55189.0,2599.0,1003464.0
1992,"CLINTON, BILL",525514.0,1228912.0,"BUSH, GEORGE H.W.",577507.0,125891.0,South Carolina,50013.0,2601.0,3486703.0
1992,"CLINTON, BILL",124888.0,336254.0,"BUSH, GEORGE H.W.",136718.0,74648.0,South Dakota,47621.0,1213.0,696004.0
1992,"CLINTON, BILL",933521.0,1982638.0,"BUSH, GEORGE H.W.",841300.0,207817.0,Tennessee,44101.0,1656.0,4877185.0
1992,"CLINTON, BILL",2281815.0,6154018.0,"BUSH, GEORGE H.W.",2496071.0,1376132.0,Texas,50693.0,1150.0,16986510.0
1992,"CLINTON, BILL",183429.0,743998.0,"BUSH, GEORGE H.W.",322632.0,237937.0,Utah,62115.0,2076.0,1722850.0
1992,"CLINTON, BILL",133592.0,289701.0,"BUSH, GEORGE H.W.",88122.0,67987.0,Vermont,59402.0,2417.0,562758.0
1992,"CLINTON, BILL",1038650.0,2559129.0,"BUSH, GEORGE H.W.",1150517.0,369962.0,Virginia,69272.0,2465.0,6187358.0
1992,"CLINTON, BILL",993037.0,2287565.0,"BUSH, GEORGE H.W.",731234.0,563294.0,Washington,61478.0,2261.0,4866692.0
1992,"CLINTON, BILL",331001.0,683677.0,"BUSH, GEORGE H.W.",241974.0,110702.0,West Virginia,36762.0,1618.0,1793477.0
1992,"CLINTON, BILL",1041066.0,2531064.0,"BUSH, GEORGE H.W.",930855.0,559143.0,Wisconsin,60404.0,1989.0,4891769.0
1992,"CLINTON, BILL",68160.0,199884.0,"BUSH, GEORGE H.W.",79347.0,52377.0,Wyoming,54784.0,2575.0,453588.0
1996,"CLINTON, BILL",662165.0,1534349.0,"DOLE, ROBERT",769044.0,103140.0,Alabama,49940.0,2073.0,4447100.0
1996,"CLINTON, BILL",80380.0,241620.0,"DOLE, ROBERT",122746.0,38494.0,Alaska,86984.0,3143.0,626932.0
1996,"CLINTON, BILL",653288.0,1404405.0,"DOLE, ROBERT",622073.0,129044.0,Arizona,52140.0,2100.0,5130632.0
1996,"CLINTON, BILL",475171.0,884262.0,"DOLE, ROBERT",325416.0,83675.0,Arkansas,44701.0,1612.0,2673400.0
1996,"CLINTON, BILL",5119835.0,10019469.0,"DOLE, ROBERT",3828381.0,1071253.0,California,63965.0,1348.0,33871648.0
1996,"CLINTON, BILL",671152.0,1510702.0,"DOLE, ROBERT",691848.0,147702.0,Colorado,67489.0,2190.0,4301261.0
1996,"CLINTON, BILL",735740.0,1392614.0,"DOLE, ROBERT",483109.0,173765.0,Connecticut,69415.0,5088.0,3405565.0
1996,"CLINTON, BILL",140355.0,270810.0,"DOLE, ROBERT",99062.0,31393.0,Delaware,64784.0,2311.0,783600.0
1996,"CLINTON, BILL",2546870.0,5303154.0,"DOLE, ROBERT",2244536.0,511748.0,Florida,50499.0,845.0,15982378.0
1996,"CLINTON, BILL",1053849.0,2298899.0,"DOLE, ROBERT",1080843.0,164207.0,Georgia,53556.0,2746.0,8186453.0
1996,"CLINTON, BILL",205012.0,360120.0,"DOLE, ROBERT",113943.0,41165.0,Hawaii,68843.0,3120.0,1211537.0
1996,"CLINTON, BILL",165443.0,491711.0,"DOLE, ROBERT",256595.0,69673.0,Idaho,57203.0,2210.0,1293953.0
1996,"CLINTON, BILL",2341744.0,4311391.0,"DOLE, ROBERT",1587021.0,382626.0,Illinois,65188.0,1824.0,12419293.0
1996,"CLINTON, BILL",887424.0,2135431.0,"DOLE, ROBERT",1006693.0,241314.0,Indiana,57925.0,2139.0,6080485.0
1996,"CLINTON, BILL",620258.0,1234075.0,"DOLE, ROBERT",492644.0,121173.0,Iowa,54731.0,2517.0,2926324.0
1996,"CLINTON, BILL",387659.0,1074300.0,"DOLE, ROBERT",583245.0,103396.0,Kansas,53703.0,2406.0,2688418.0
1996,"CLINTON, BILL",636614.0,1388708.0,"DOLE, ROBERT",623283.0,128811.0,Kentucky,53419.0,2372.0,4041769.0
1996,"CLINTON, BILL",927837.0,1783959.0,"DOLE, ROBERT",712586.0,143536.0,Louisiana,49874.0,2126.0,4468976.0
