YEAR,DEM_CANDIDATE,DEM_VOTES,TOTALVOTES,REP_CANDIDATE,REP_VOTES,THIRD_PARTY_VOTES,STATE,MEDIAN_INCOME,STANDARD_ERROR,POPULATION,NETVOTES,WINNER,INCUMBENT,HOUSE,SENATE,DEM_SPENDING,REP_SPENDING,VEP_PCT_TURNOUT,TOTAL_ELIGIBLE_POPULATION,NET_VOTES_PCT
1984,"MONDALE, WALTER",848583.0,2122771.0,"REAGAN, RONALD",1274188.0,0.0,Missouri,49435.0,1701.0,4975276.0,-425605.0,0,0,1,0,196886781.63,192307966.66,0.587,3617948.0,-0.2004950133575407
1984,"MONDALE, WALTER",116113.0,317867.0,"REAGAN, RONALD",200267.0,1487.0,South Dakota,46184.0,2208.0,697250.0,-84154.0,0,0,1,0,196886781.63,192307966.66,0.643,494651.0,-0.26474594720433386
1984,"MONDALE, WALTER",187866.0,652090.0,"REAGAN, RONALD",460054.0,4170.0,Nebraska,50915.0,1820.0,1588638.0,-272188.0,0,0,1,0,196886781.63,192307966.66,0.575,1135012.0,-0.41740863991166866
1984,"MONDALE, WALTER",2228131.0,4844903.0,"REAGAN, RONALD",2584323.0,32449.0,Pennsylvania,48414.0,1187.0,11815175.0,-356192.0,0,0,1,0,196886781.63,192307966.66,0.551,8790815.0,-0.07351891255614405
1984,"MONDALE, WALTER",352192.0,941104.0,"REAGAN, RONALD",582377.0,6535.0,Mississippi,36716.0,1742.0,2578053.0,-230185.0,0,0,1,0,196886781.63,192307966.66,0.533,1766654.0,-0.24459039596048895
1984,"MONDALE, WALTER",146742.0,384377.0,"REAGAN, RONALD",232450.0,5185.0,Montana,46486.0,1713.0,820904.0,-85708.0,0,0,1,0,196886781.63,192307966.66,0.664,578925.0,-0.22297900238567864
1984,"MONDALE, WALTER",333854.0,1025897.0,"REAGAN, RONALD",681416.0,10627.0,Arizona,50981.0,1449.0,3067134.0,-347562.0,0,0,1,0,196886781.63,192307966.66,0.477,2151391.0,-0.3387883968858472
1984,"MONDALE, WALTER",338646.0,884406.0,"REAGAN, RONALD",534774.0,10986.0,Arkansas,37297.0,1780.0,2319767.0,-196128.0,0,0,1,0,196886781.63,192307966.66,0.53,1668136.0,-0.22176240324014085
1984,"MONDALE, WALTER",3922519.0,9505041.0,"REAGAN, RONALD",5467009.0,115513.0,California,60171.0,866.0,25844397.0,-1544490.0,0,0,1,0,196886781.63,192307966.66,0.572,16618345.0,-0.1624916715246152
1984,"MONDALE, WALTER",454975.0,1295380.0,"REAGAN, RONALD",821817.0,18588.0,Colorado,61394.0,1916.0,3169995.0,-366842.0,0,0,1,0,196886781.63,192307966.66,0.571,2267668.0,-0.2831925766956414
1984,"MONDALE, WALTER",569597.0,1466900.0,"REAGAN, RONALD",890877.0,6426.0,Connecticut,71269.0,2946.0,3180014.0,-321280.0,0,0,1,0,196886781.63,192307966.66,0.638,2300533.0,-0.21901970141113913
1984,"MONDALE, WALTER",101656.0,254572.0,"REAGAN, RONALD",152190.0,726.0,Delaware,61437.0,2444.0,611565.0,-50534.0,0,0,1,0,196886781.63,192307966.66,0.575,442354.0,-0.19850572725987148
1984,"MONDALE, WALTER",1448816.0,4180051.0,"REAGAN, RONALD",2730350.0,885.0,Florida,47079.0,1114.0,11039925.0,-1281534.0,0,0,1,0,196886781.63,192307966.66,0.524,7976805.0,-0.3065833407295748
1984,"MONDALE, WALTER",706628.0,1776103.0,"REAGAN, RONALD",1068722.0,753.0,Georgia,47552.0,1939.0,5834943.0,-362094.0,0,0,1,0,196886781.63,192307966.66,0.431,4119852.0,-0.2038699332189631
1984,"MONDALE, WALTER",147154.0,335846.0,"REAGAN, RONALD",185050.0,3642.0,Hawaii,68714.0,2894.0,1027922.0,-37896.0,0,0,1,0,196886781.63,192307966.66,0.484,694187.0,-0.11283743144179177
1984,"MONDALE, WALTER",108510.0,411144.0,"REAGAN, RONALD",297523.0,5111.0,Idaho,50189.0,2291.0,990841.0,-189013.0,0,0,1,0,196886781.63,192307966.66,0.62,662771.0,-0.4597245733854805
1984,"MONDALE, WALTER",62007.0,207605.0,"REAGAN, RONALD",138377.0,7221.0,Alaska,76992.0,3505.0,513704.0,-76370.0,0,0,1,0,196886781.63,192307966.66,0.605,343030.0,-0.36786204571180847
1984,"MONDALE, WALTER",841481.0,2233069.0,"REAGAN, RONALD",1377230.0,14358.0,Indiana,54182.0,1689.0,5458322.0,-535749.0,0,0,1,0,196886781.63,192307966.66,0.57,3916362.0,-0.23991600796930143
1984,"MONDALE, WALTER",2086499.0,4819088.0,"REAGAN, RONALD",2707103.0,25486.0,Illinois,56518.0,1349.0,11412128.0,-620604.0,0,0,1,0,196886781.63,192307966.66,0.608,7922605.0,-0.12878038334224234
1984,"MONDALE, WALTER",1529638.0,3801658.0,"REAGAN, RONALD",2251571.0,20449.0,Michigan,54646.0,1511.0,9049454.0,-721933.0,0,0,1,0,196886781.63,192307966.66,0.593,6407156.0,-0.18989951226543786
1984,"MONDALE, WALTER",1239606.0,2559383.0,"REAGAN, RONALD",1310936.0,8841.0,Massachusetts,64150.0,1649.0,5840774.0,-71330.0,0,0,1,0,196886781.63,192307966.66,0.599,4273437.0,-0.027869998355072298
1984,"MONDALE, WALTER",787935.0,1675873.0,"REAGAN, RONALD",879918.0,8020.0,Maryland,70691.0,2739.0,4365246.0,-91983.0,0,0,1,0,196886781.63,192307966.66,0.538,3113967.0,-0.05488661730333981
1984,"MONDALE, WALTER",214515.0,553144.0,"REAGAN, RONALD",336500.0,2129.0,Maine,49132.0,2104.0,1155634.0,-121985.0,0,0,1,0,196886781.63,192307966.66,0.658,840251.0,-0.22053027783000448
1984,"MONDALE, WALTER",1036364.0,2084449.0,"REAGAN, RONALD",1032603.0,15482.0,Minnesota,58146.0,2175.0,4157704.0,3761.0,1,0,1,0,196886781.63,192307966.66,0.699,2982015.0,0.0018043137538985123
1984,"MONDALE, WALTER",539539.0,1369345.0,"REAGAN, RONALD",821702.0,8104.0,Kentucky,42070.0,2568.0,3695459.0,-282163.0,0,0,1,0,196886781.63,192307966.66,0.518,2643027.0,-0.2060569104206756
1984,"MONDALE, WALTER",333149.0,1021991.0,"REAGAN, RONALD",677296.0,11546.0,Kansas,58605.0,2170.0,2424088.0,-344147.0,0,0,1,0,196886781.63,192307966.66,0.584,1751223.0,-0.3367417129896447
1984,"MONDALE, WALTER",605620.0,1319805.0,"REAGAN, RONALD",703088.0,11097.0,Iowa,47265.0,1773.0,2858615.0,-97468.0,0,0,1,0,196886781.63,192307966.66,0.641,2057482.0,-0.07385030364334125
